"","Jugador","Partidos","Min","Goles","Asistencias","P","G Enc","T","TaP","Pre T%","C","CP","Pre C%","","CF","FR","FC","PI","BR","","","","","","PL","","","","TB","","Reg","PA","P%","CC","FC","FCP","FD","FDaP","GF"
"106","Chimy Ávila",20,1590,9,2,0,0,70,28,"40%",22,4,"18%",2,20,43,46,4,12,0,6,0,0,1,0,0,0,0,0,0,16,22,"59%",0,0,0,0,0,0
"107","Christian Benteke",1,90,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"108","Christian Rivera",5,311,0,0,0,0,1,0,"0%",2,1,"50%",0,0,5,6,4,3,0,3,0,0,0,0,0,0,0,2,0,2,1,"83%",0,0,0,0,0,0
"109","Clément Lenglet",19,1689,2,1,0,0,8,3,"38%",0,0,"0%",0,1,18,23,26,26,0,9,2,1,0,0,0,0,0,10,0,4,5,"92%",0,3,0,0,0,0
"110","Coke Andújar",11,596,0,0,0,0,3,0,"0%",13,0,"0%",0,2,10,10,6,9,1,2,0,0,0,0,0,0,0,1,0,11,4,"80%",0,0,0,0,0,0
"111","Cristian Portu",24,1784,7,8,0,0,29,14,"48%",78,19,"24%",0,18,17,24,8,15,0,5,0,0,0,1,0,0,0,2,0,9,29,"72%",25,3,0,0,0,0
"112","Cristian Rivero",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"113","Cristian Tello",18,460,1,0,0,0,13,5,"38%",19,3,"16%",1,5,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,7,4,"78%",9,0,0,1,0,0
"114","Cristiano Piccini",2,75,0,0,0,0,1,0,"0%",2,1,"50%",0,0,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,2,0,"74%",0,0,0,0,0,0
"115","Cucho Hernández",12,798,2,1,0,0,27,9,"33%",11,4,"36%",0,6,18,10,3,4,0,3,0,1,0,0,0,0,0,0,0,13,8,"62%",0,0,0,0,0,0
"116","Dakonam Djené",25,2250,0,0,0,0,3,1,"33%",8,3,"38%",0,0,19,36,22,18,0,3,0,1,0,0,0,0,0,5,0,9,7,"70%",0,9,0,0,0,0
"117","Damián Suárez",22,1923,1,4,0,0,15,4,"27%",122,24,"20%",0,12,39,41,22,23,0,11,0,0,0,0,0,0,0,2,0,19,25,"64%",44,42,1,5,2,0
"118","Dani Cárdenas",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"119","Dani García",26,2279,0,0,0,0,11,0,"0%",4,1,"25%",0,1,28,43,37,27,0,6,0,0,0,0,0,0,0,3,0,8,10,"81%",0,5,1,0,0,0
"120","Dani Martín",2,171,0,0,3,7,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"65%",0,1,0,0,0,0
"121","Dani Morer",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"122","Dani Parejo",25,2210,8,3,0,0,27,13,"48%",125,40,"32%",0,14,74,18,18,31,0,6,1,1,1,5,5,0,0,8,0,27,42,"86%",87,59,7,14,5,2
"123","Dani Rodríguez",27,2195,5,1,0,0,39,11,"28%",28,10,"36%",0,9,49,46,26,28,0,4,0,0,2,1,1,0,0,3,0,30,20,"83%",4,10,3,1,1,1
"124","Dani Vivian",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"125","Daniel Carriço",11,848,0,0,0,0,6,0,"0%",0,0,"0%",0,0,2,8,8,3,0,3,0,0,0,0,0,0,0,3,0,3,1,"90%",0,3,0,0,0,0
"126","Daniel Carvajal",22,1980,1,5,0,0,13,6,"46%",87,19,"22%",0,16,20,35,30,35,0,8,0,0,0,0,0,0,0,9,0,18,37,"87%",0,1,0,0,0,0
"127","Daniel Rebollo",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"128","Daniel Torres",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"129","Daniel Wass",25,2168,1,6,0,0,16,4,"25%",69,7,"10%",0,16,29,25,27,20,0,5,0,0,0,0,0,0,0,3,0,8,18,"80%",1,1,0,0,0,0
"130","Danny Rose",1,90,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"131","Darío Poveda",1,8,0,0,0,0,1,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"60%",0,0,0,0,0,0
"132","Darko Brasanac",21,1682,0,1,0,0,19,8,"42%",12,1,"8%",0,11,17,45,14,24,0,7,0,0,1,0,0,0,0,4,0,5,18,"76%",0,1,0,0,0,0
"133","Darwin Machís",26,1428,6,3,0,0,52,21,"40%",86,16,"19%",1,14,28,29,19,10,0,3,0,0,0,1,1,0,0,2,0,40,23,"74%",22,13,2,1,1,0
"134","David Costas",6,336,0,0,0,0,1,0,"0%",0,0,"0%",0,0,2,5,8,3,0,1,0,0,0,0,0,0,0,3,0,0,0,"90%",0,2,0,0,0,0
"135","David García Z.",23,1983,0,0,0,0,13,4,"31%",1,0,"0%",0,1,12,30,29,11,0,4,0,0,0,0,0,0,0,13,0,1,5,"72%",0,23,0,0,0,0
"136","David Juncà",3,258,0,0,0,0,0,0,"0%",14,2,"14%",0,1,7,5,2,5,0,1,0,0,0,0,0,0,0,1,0,2,0,"78%",0,2,0,0,0,0
"137","David López",21,1497,2,2,0,0,9,5,"56%",8,4,"50%",0,3,19,26,21,14,0,4,1,0,0,0,0,0,0,8,0,3,12,"79%",0,6,0,0,0,0
"138","David Soria",27,2430,0,0,56,25,0,0,"0%",0,0,"0%",0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0,"42%",0,31,0,0,0,0
"139","David Timor",12,385,2,0,0,0,11,3,"27%",4,0,"0%",0,0,8,6,7,4,0,2,0,0,0,0,0,0,0,0,0,2,1,"64%",1,10,0,5,3,2
"140","David Zurutuza",4,94,0,0,0,0,0,0,"0%",1,0,"0%",0,1,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"75%",0,0,0,0,0,0
"141","DeAndre Yedlin",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"142","Denis Cheryshev",15,700,1,1,0,0,16,5,"31%",31,5,"16%",1,8,11,17,6,7,0,5,0,1,1,0,0,0,0,0,0,7,3,"71%",0,0,0,0,0,0
