"","Jugador","Partidos","Min","Goles","Asistencias","P","G Enc","T","TaP","Pre T%","C","CP","Pre C%","","CF","FR","FC","PI","BR","","","","","","PL","","","","TB","","Reg","PA","P%","CC","FC","FCP","FD","FDaP","GF"
"583","Unai López",17,1143,1,3,0,0,18,4,"22%",68,23,"34%",0,9,12,24,12,15,0,6,0,0,0,0,0,0,0,1,0,10,22,"87%",27,27,4,3,1,1
"584","Unai Núñez",12,954,0,0,0,0,3,2,"67%",1,0,"0%",0,0,4,15,16,7,0,5,0,0,0,0,0,0,1,10,0,3,1,"81%",0,3,0,0,0,0
"585","Unai Simón",24,2160,0,0,59,20,0,0,"0%",0,0,"0%",0,0,2,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,"55%",0,4,0,0,0,0
"586","Unai Vencedor",1,73,0,0,0,0,1,0,"0%",4,2,"50%",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,"86%",2,3,1,1,0,0
"587","Valentino Lazaro",1,90,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"588","Vasyl Kravets",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"589","Vicente Esquerdo",2,13,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"64%",0,0,0,0,0,0
"590","Vicente Guaita",1,90,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"591","Vicente Iborra",27,2209,0,2,0,0,14,1,"7%",3,1,"33%",0,0,35,43,37,39,0,9,0,1,0,0,0,0,0,13,0,8,7,"86%",0,6,0,0,0,0
"592","Víctor Camarasa",7,603,0,0,0,0,7,2,"29%",7,5,"71%",0,1,4,7,8,4,0,1,0,0,0,0,0,0,0,1,0,4,7,"78%",1,4,1,0,0,0
"593","Víctor Campuzano",13,698,0,0,0,0,14,6,"43%",7,0,"0%",0,5,11,22,1,8,0,2,0,0,0,0,0,0,0,0,0,7,1,"65%",0,1,0,0,0,0
"594","Víctor Díaz",25,2175,0,5,0,0,12,0,"0%",98,20,"20%",0,11,8,15,39,36,0,3,0,0,0,0,0,0,0,17,0,6,24,"68%",4,16,2,0,0,0
"595","Víctor Gómez",13,898,0,0,0,0,4,0,"0%",49,11,"22%",0,8,19,14,9,6,0,2,0,1,0,0,0,0,1,0,0,6,8,"68%",1,0,0,0,0,0
"596","Víctor Laguardia",22,1935,1,2,0,0,8,2,"25%",2,2,"100%",1,1,8,29,29,12,0,7,1,0,0,0,0,0,0,15,0,2,7,"73%",0,24,0,0,0,0
"597","Víctor Sánchez",21,1581,0,1,0,0,8,1,"13%",68,18,"26%",0,2,29,46,25,35,0,10,1,2,0,0,0,0,0,7,1,11,22,"81%",15,21,3,1,0,0
"598","Vinicius Junior",19,906,2,1,0,0,31,14,"45%",27,5,"19%",0,8,17,13,3,8,0,3,0,0,0,0,0,0,0,0,0,35,16,"81%",0,0,0,0,0,0
"599","Vitolo",21,1037,2,1,0,0,15,9,"60%",5,2,"40%",0,11,36,20,9,9,0,3,0,0,0,0,0,0,0,0,0,30,10,"81%",0,0,0,0,0,0
"600","Vitorino Antunes",1,6,0,0,0,0,0,0,"0%",1,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"601","Waldo Rubio",12,446,0,1,0,0,9,2,"22%",10,2,"20%",0,6,4,8,4,3,0,3,0,0,0,0,0,0,0,0,0,11,7,"62%",0,0,0,0,0,0
"602","Wayne Hennessey",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"603","Wilfrid Kaptoum",5,194,0,0,0,0,3,0,"0%",2,0,"0%",0,0,3,1,1,3,0,1,0,0,0,0,0,0,0,1,0,2,1,"79%",0,1,0,0,0,0
"604","Wilfried Zaha",1,90,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"605","William Carvalho",9,705,0,0,0,0,5,2,"40%",1,0,"0%",0,3,5,11,3,3,0,4,1,0,0,0,0,0,0,5,0,15,5,"88%",0,1,0,0,0,0
"606","Willian José",26,1443,9,0,0,0,43,15,"35%",6,0,"0%",0,2,12,22,0,2,0,4,0,0,0,0,0,0,0,2,0,4,12,"71%",0,0,0,1,0,0
"607","Wu Lei",22,1151,3,0,0,0,29,8,"28%",17,2,"12%",0,11,12,14,11,6,0,2,0,0,0,0,0,0,0,1,0,11,11,"68%",0,0,0,0,0,0
"608","Xabier Etxeita",10,855,0,0,0,0,1,0,"0%",1,0,"0%",0,4,6,11,11,7,0,5,0,0,0,0,0,0,0,4,0,2,1,"55%",0,5,0,0,0,0
"609","Xavi Quintillà",16,1371,0,2,0,0,3,1,"33%",73,9,"12%",0,9,11,24,9,10,0,5,0,0,0,0,0,0,0,4,0,4,19,"85%",2,6,0,2,0,0
"610","Xeber Alkain",0,0,0,0,0,0,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0%",0,0,0,0,0,0
"611","Ximo Navarro",17,1490,0,0,0,0,4,1,"25%",18,2,"11%",0,4,20,25,41,16,0,8,0,0,0,0,0,0,0,5,0,5,3,"77%",0,4,0,0,0,0
"612","Xisco Campos",7,344,0,0,0,0,2,0,"0%",0,0,"0%",0,0,3,6,9,4,0,1,0,0,0,0,0,0,0,5,0,0,1,"72%",0,0,0,0,0,0
"613","Yan Brice Eteki",17,910,0,0,0,0,5,0,"0%",0,0,"0%",1,1,17,38,7,13,0,4,0,0,0,0,0,0,0,3,1,14,4,"78%",0,0,0,0,0,0
"614","Yangel Herrera",20,1574,2,2,0,0,23,4,"17%",5,0,"0%",0,2,33,54,22,40,0,9,0,0,0,0,0,0,0,8,0,10,9,"77%",0,2,0,0,0,0
"615","Yannick F. Carrasco",5,158,0,0,0,0,4,2,"50%",8,0,"0%",0,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1,"76%",3,0,0,0,0,0
"616","Yannis Salibur",2,54,0,0,0,0,0,0,"0%",2,0,"0%",0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"75%",0,0,0,0,0,0
"617","Yassine Bono",2,135,0,0,3,2,0,0,"0%",0,0,"0%",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"66%",0,0,0,0,0,0
"618","Yeray Álvarez",25,2250,0,0,0,0,10,1,"10%",10,2,"20%",0,4,24,15,50,17,0,2,0,1,0,0,0,0,0,16,0,9,4,"78%",0,22,0,0,0,0
"619","Yoel Rodríguez",1,90,0,0,3,0,0,0,"0%",0,0,"0%",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"44%",0,2,0,0,0,0
"620","Youssef En Nesyri",25,1708,7,2,0,0,53,21,"40%",14,3,"21%",1,10,23,25,5,8,0,2,0,0,0,0,0,0,0,2,0,18,8,"57%",0,0,0,0,0,0
"621","Yuri Berchiche",24,2160,2,1,0,0,28,8,"29%",78,14,"18%",0,19,43,25,24,27,0,4,0,1,0,0,0,0,0,3,0,31,25,"82%",0,6,1,2,0,0
"622","Zambo Anguissa",26,1773,1,0,0,0,24,7,"29%",9,0,"0%",0,4,25,30,30,34,0,6,0,0,0,0,0,0,0,4,0,63,14,"86%",0,2,0,0,0,0
"623","Zou Feddal",10,846,0,1,0,0,3,1,"33%",0,0,"0%",1,1,7,14,18,7,0,7,2,0,0,0,0,0,0,3,0,2,2,"85%",0,7,0,0,0,0
